name,segment_ids,id,descriptn,part_of
Kielhorn Meadow Access,167559;170432;170434,170432,,""
South Trail,171788;177602;177603,177602,,""
Mill Park Trails,174173;176501;176519;176744;176745;176746;176751;176900;176901;177338;177604;177605,177604,,""
Bertha Blvd,170461;175495;175496;175774;175776,170461,,""
Alberta Park Jogging Trail,166075;166079;167135;167468;168760;168765,166075,,""
Cedar Grove Trail,166105;172470;174107;174832;175350;176960;178228;181724,166105,,""
Mountain View Trail,166109;166203;168001;170513;170687,166109,,""
Kelley Point Park Trail,167364;170493;170581;171016;171742;171879;172003;172219;172309;172337;172605;172730;172900;172920;172948;172950;173018;173097;173260;173308;173379;173484;173575;173676;173835;173845;173961;174466,170493,,""
Firelane 1,166444;167614;169827;170231;170234;170500;176026;176167;176425;178511;178556;179000;179103,170500,,""
Hardesty Trail,172234;176392;176393,172234,,""
Saltzman Road,166200;167613;167615;168006;168616;168617;169608;169936;169937;170039;170040;170180;170181;170511,170511,,""
Berkeley Park Trails,170517;174152;174156,170517,,""
Leif Erikson Trailhead Parking Lot,166198;166202;172113;174950;177295,166198,,""
Whitaker Connector,166204;180307;180310;180543;181515,166204,,""
Firelane 7,170525;175984;176094;177939;178200,170525,,""
Northwest Portland Willamette Greenway Trail,167091;168555;168560;169141;169181;169868;169949;170331;170537;170868;170942;171324;171484;171490;171664;173125;173755;174252;175397;177320;178187;178331;178345;179115;179578;179899;180635;180636;180637;180641;180739;181253;181254;181341,170537,,""
Tanner Springs Park Trail,166263;166264;166283;167403;169055;169125;169126;169905;169962;169964;170802;170977;171406;171621;172871;174882;175268;175591;177242;177989;179300,166263,,""
Sellwood Gap,170542;170543;170637;170638;170639;172660;173587;173608;173823;173854;181344,170542,,""
Columbia Slough Trail - Connector,171741;175827;179677,179677,,""
Holly Trail,166287;169785;170013;170063;173590;174390;178234,166287,,""
BPA Road,166293;166445;167999;170130;171787;173501;174172;174922;175366;175608;176060;176445;176681;176841;176843;176894;176895;176911;177309;177310,166293,,""
Firelane 3,166294;166754;170230;172099;172548;175124;175805;176169,166294,,""
Driveway,166295;169557,166295,,""
Camp Tolinda Trail,172047;175845;176015,172047,,""
Oak Trail,170049;172048;174169;174315;174852;175741;175843;177832;178519;181203,172048,,""
Marquam Park Trail,170798;170799;171820;172277;172595;172758;172759;173163;173211;173488;173561,171820,,""
Hoyt Arboretum Trail,166431,166431,,""
Willamette Park Trail,170192;170741;171822;172739;172755;174130;174952;179797;179845,171822,,""
Cedar Trail,166427;168359;169026;169734;174103;175403;175780;175932;176221;176461;176748;176753;177834,166427,,""
Cannon Trail,172049;174286;174475;176164,172049,,""
Foley-Balmer Trail,170605;170815;170816;171127;171128,170605,,""
Southwest Portland Willamette Greenway Trail,167294;167305;168298;168557;168645;169731;169817;169908;169945;169958;170192;170395;170408;170606;170661;170741;170913;170924;170940;171154;171389;171678;171816;171822;171915;171943;171997;172211;172264;172404;172432;172433;172434;172636;172637;172638;172739;172755;173165;173247;173411;173560;173711;173815;173929;173958;174041;174042;174043;174044;174045;174130;174308;174634;174689;174758;174952;176265;177084;177379;178550;178694;178851;179797;179845;179997;180164;180394;180537;181187;181190;181440;181441;181465;181468;181469;181472;181476,170606,,""
Portland to Lake Oswego Willamette Greenway Trail,171856;179617;179828;179829;179996;180659;180660;180841;180843;180845;180848,179996,,""
NE Glisan St - NE 12th Ave Connector,166553;166554,166553,,""
Morrison Bridge Connector,166617;173787;173788;173789,166617,,""
NW 10th Ave. - Connector,173899;174291;177833;179721;179898,179721,,""
Marigold Trail,166755;167605;175607;176163,166755,,""
Maple Trail,166776;173450;174171;174383;174830;174923;175006;176013;176271,166776,,""
Fulton CC Driveway,169446;169447;170803;171912,171912,,""
Columbia Slough Trail,166991;166992;166994;167137;167457;167458;167459;167460;167462;167548;167589;167592;167612;167941;167943;167945;167980;167981;167982;167983;167984;168000;168077;168755;168762;168919;169033;169196;169360;169384;169456;169457;169458;169459;169460;169461;170032;170493;170980;171357;171741;172098;172108;172139;172308;172531;172542;172544;172545;172589;172590;172674;172675;172732;172769;172859;172860;172916;172917;173097;173134;173148;173308;173564;173565;173566;173567;173770;173771;173803;173804;173805;173832;173873;174040;174240;175024;175296;175355;175391;175827;176512;176672;176818;176965;176966;176967;178677;178970;179441;179677;180658;180661;180731;180911;181153;181156;181158;181748;181750;181751;181811;181814,172098,,""
Firelane 5 Extension,166830;174114,166830,,""
Lents Recreational Loop Trail,170994;171951;172446;172515;174135;177276;179162;179179;179346;179856;179926;179927;180938;181934,171951,,""
Hillsdale To Lake Oswego Trail,169597;171006;171955;172412;172864;173255;173258;181191,171955,,""
Cora / Kenilworth Loop,170691;175661;177158;180948,170691,,""
2nd Ave - 3rd Ave Connector,167325,167325,,""
